,text,named_ents,named_ents_nolabel,chunk,compounds,verbs,re_subtree,re_chunk_v_chunk,adj,adj_noun,preps,noun_pre_noun
0," Good evening from Hofstra University in Hempstead, New York.","[('evening', 'TIME'), ('Hofstra University', 'ORG'), ('Hempstead', 'GPE'), ('New York', 'GPE')]","['evening', 'Hofstra University', 'Hempstead', 'New York']","['Hofstra University', 'Hempstead']","['Hofstra University', 'New York']",[],"('', 'Hempstead', ' ')","('', 'good', 'University Hempstead')",[Good],[],"[from, in]",['Good evening from Hofstra University']
1,"I am Lester Holt, anchor of ""NBC Nightly News.”","[('Lester Holt', 'PERSON'), ('NBC', 'ORG'), ('Nightly News', 'ORG')]","['Lester Holt', 'NBC', 'Nightly News']","['I', 'Lester Holt', 'anchor', '""NBC Nightly News']","['Lester Holt', 'NBC Nightly News']",[],"('I', 'Nightly News', 'am')","('I', 'be Holt', 'News')",[],[],[of],['anchor of NBC Nightly News']
2,I want to welcome you to the first presidential debate.,"[('first', 'ORDINAL')]",['first'],"['I', 'you', 'the first presidential debate']",[],"[want, welcome]","('I', 'presidential debate', 'want')","('I', 'want first presidential', 'you debate')","[first, presidential]",['first presidential debate'],[to],[]
3,The participants tonight are Donald Trump and Hillary Clinton.,"[('tonight', 'TIME'), ('Donald Trump', 'PERSON'), ('Hillary Clinton', 'PERSON')]","['tonight', 'Donald Trump', 'Hillary Clinton']","['The participants', 'Donald Trump', 'Hillary Clinton']","['Donald Trump', 'Hillary Clinton']",[],"('participants', '', 'are')","('participants', 'be Trump', '')",[],[],[],[]
4,"This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization.","[('the Commission on Presidential Debates', 'ORG')]",['the Commission on Presidential Debates'],"['This debate', 'the Commission', 'Presidential Debates', 'a nonpartisan, nonprofit organization']",['Presidential Debates'],[sponsored],"('Presidential Debates', 'debate', 'sponsored')","('debate', 'sponsor by nonpartisan nonprofit', 'Commission Debates')","[nonpartisan, nonprofit]",[],[on],[]
5,"The commission drafted tonight's format, and the rules have been agreed to by the campaigns.","[('tonight', 'TIME')]",['tonight'],"['The commission', ""tonight's format"", 'the rules', 'the campaigns']",[],"[drafted, agreed]","('campaigns', 'rules', 'drafted')","('commission rules', 'draft by', 'format campaigns')",[],[],[to],[]
6,"The 90-minute debate is divided into six segments, each 15 minutes long.","[('90-minute', 'TIME'), ('six', 'CARDINAL'), ('15 minutes', 'TIME')]","['90-minute', 'six', '15 minutes']","['The 90-minute debate', 'six segments']",['90-minute debate'],[divided],"('segments', 'minute debate', 'divided')","('debate', 'divide', 'segments')",[],['minute debate'],[into],[]
7,We'll explore three topic areas tonight: Achieving prosperity; America's direction; and securing America.,"[('three', 'CARDINAL'), ('tonight', 'TIME'), ('America', 'GPE'), ('America', 'GPE')]","['three', 'tonight', 'America', 'America']","['We', 'three topic areas', 'prosperity', ""America's direction"", 'America']",['topic areas'],"[explore, Achieving, securing]","('We', 'America', 'explore')","('We', 'explore', 'areas prosperity direction America')",[],['topic areas'],[],[]
8,"At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond.","[('up to two minutes', 'TIME')]",['up to two minutes'],"['the start', 'each segment', 'I', 'the same lead-off question', 'both candidates', 'they', 'up to two minutes']",[],"[ask, have, respond]","('they', 'minutes', 'ask')","('I they', 'ask same lead', 'start segment question candidates minutes')","[same, lead]",['same question'],"[At, of, to]","['start of segment', 'lead off', 'same lead question to candidates']"
9,"From that point until the end of the segment, we'll have an open discussion.",[],[],"['that point', 'the end', 'the segment', 'we', 'an open discussion']",[],[have],"('we', 'open discussion', 'have')","('we', 'have open', 'point end segment discussion')",[open],['open discussion'],"[From, until, of]",['end of segment']
