,term,description
0,Ballot, A piece of paper that lists all the options that can be voted for (same as ballot paper). (noun)
1,Ballot box, The container that is used to hold all the used ballot papers. (noun)
2,Ballot paper, A piece of paper that lists all the options that can be voted for (same as ballot). (noun)
3,Big government, A description of government that is believed to be too much by some. (noun)
4,Bill, A draft from of a law before it has been approved by a vote. (noun)
5,Bipartisan, Something that is supported by politicians from two different political parties. (adjective)
6,By-election, An election that happens in-between regular elections. (noun)
7,Campaign, The contest between politicians to be elected. (noun)
8,Candidate, A person who wishes to be elected via a vote. (noun)
9,Caucus, To meet together to select a candidate to represent a political party. (verb)
10,Capitalism, A political and economic system where the people rather than the state own items. (noun)
11,Challenger, A person who hopes to beat someone in an election. (noun)
12,Checks and balances, The different parts of the American political set up that ensures power is distributed appropriately. (noun)
13,Coalition, When two or more political parties work together to form a government. (noun)
14,Communism," A political belief in which the state owns everything, a form of socialism. (noun)"
15,Congress, The elected part of the USA government. (noun)
16,Conservative, A UK right-wing political party or a member/supporter of that party. (noun) Supporting right-wing political beliefs. (adjective)
17,Constituency, The area of a country that is represented by a certain elected official. (noun)
18,Constituent, A person that votes in a specific area for a certain group of candidates. (noun)
19,Constitution, The document that states the basic laws that govern a country. (noun)
20,Convention, A gathering of the members of a political party. (noun)
21,Coup d’ etat," An illegal change of government, often using force and often done by the military. (noun)"
22,Debate, A conversation between people where they try to convince others that they have the correct beliefs. (noun)
23,Delegate, A person who is chosen or elected to attend an event to represent a larger group of people. (noun)
24,Democracy, A political system where the population of a country votes for the people that will lead them. (noun)
25,Democrats, A USA left-wing political party or a member/supporter of that party. (noun)
26,Dictator, A leader of a country that was not elected and uses force to stay in power. (noun)
27,Dictatorship, A political system where one person (or group of people) has absolute power and there are no elections. (noun)
28,Dissolution," To end something so it is separated in to its parts, e.g., the dissolution of parliament. (noun)"
29,Elect, To chose someone using a vote. (verb)
30,Election, The process of voting to select winners to fill a political position. (noun)
31,Electoral register, The list of everyone who lives in an area and can vote in an election. (noun)
32,Electorate, The group of people who are allowed to vote in an election. (noun)
33,Fascism, A political system that is based on a strict government with set levels. (noun)
34,Federal," The government at the national level as opposed to local level government, especially in the USA. (adjective)"
35,First past the post, A voting system where the candidate with the most votes is the winner and the losing candidates get nothing. (adjective)
36,Government, The group or political party that is in charge of a country or area. (noun)
37,Head of State, The person who leads and represents a country. (noun)
38,House of Commons, The lower part of the British parliament where the elected politicians debate and vote. (noun)
39,House of Lords, The upper part of the British parliament where elected and non-elected politicians debate and vote. (noun)
40,House of Representatives, The lower part of the USA congress where elected politicians debate and vote. (noun)
41,Houses of Parliament, The building that holds the Houses of Commons and Lords in the United Kingdom. (noun)
42,Incumbent, The person that currently holds a (political) office. (noun)
43,Independent, A candidate or elected person who is not a member of a political party. (noun)
44,King, A male head of state in a monarchy. (noun)
45,Labour, A UK left-wing political party. (noun)
46,Landslide, A victory that is very large. (noun)
47,Law," A one of the rules that people must follow when they are in a country, or the complete set of rules that the people must follow. (noun)"
48,Leaflet, A small piece of paper that has information printed on it. (noun)
49,Left-wing, To support socialist beliefs or to believe in promoting public welfare. (adjective)
50,Legislation, The process of forming new laws. (noun)
51,Liberal, A person who believes in progress and protecting civil liberties. (noun)
52,Lobby," To try to persuade someone, often a politician, to do as you want. (verb)"
53,Majority," To have more than half of something, such as votes or seats. (noun)"
54,Manifesto, A document that states what a political party or government will do. (noun)
55,Marxism, To follow the beliefs or Karl Marx that communism is the best political policy. (noun)
56,Member of Parliament," A person who is elected to a parliament, also MP. (noun)"
57,Minister, A politician that has a specific job in the government. (noun)
58,Monarchy, A system where the head of state is a king or queen. (noun)
59,MP," A person who is elected to a parliament, also member of parliament. (noun)"
60,Nominee, A person who has been selected to stand for political office. (noun)
61,Non-elected, An official who has a permanent job and does not have to stand for election. (adjective)
62,Opinion poll, A survey in which a random group of people are asked their views. (noun)
63,Opposition, The political party that is in a minority and does not form the government. (noun)
64,Parliament, The place in certain countries where the politicians meet to debate and vote. (noun)
65,Party," A group of people with the same beliefs, e.g., political party. (noun)"
66,Patriot, A person who loves their country. (noun)
67,PM," The person who leads the government in a country with a parliament, also prime minister. (noun)"
68,Policy, A plan that a government or political party will follow when in government. (noun)
69,Poling station, The place that people go to vote. (noun)
70,Political, To be related to politics or politicians. (adjective)
71,Political party, A group of people with the same political beliefs. (noun)
72,Politician, A person who has been elected to represent a constituency or someone involved with politics. (noun)
73,Politics," The process of choosing a leader for a country, and them leading the country. (noun)"
74,Poll, A survey in which random people are asked their views. (noun)
75,Postal vote, A vote that can be cast using the post rather than visiting a polling station. (noun)
76,President, The head of state in a republic. (noun)
77,Primary, A first selection where members of a political party chose the person to stand in an election. (noun)
78,Prime Minister," The person who leads the government in a country with a parliament, also PM. (noun)"
79,Propaganda, Information that supports or dismisses a topic that maybe at least partially untrue. (noun)
80,Proportional representation, A voting system in which parties get seats related to their total number of votes. (noun)
81,Pundit, A person who is an expert and often works for the media. (noun)
82,Queen, A female head of state in a monarchy. (noun)
83,Referendum, A vote by the population of a country about a specific topic or piece of legislation. (noun)
84,Regime, The collective group of people responsible for running a country. (noun)
85,Republic, A system where the head of state is a president. (noun)
86,Republican, A USA right-wing political party or a member/supporter of that party. (noun)
87,Right-wing, To support conservative beliefs or to believe in limited government. (noun)
88,Run, To contest an election. (verb)
89,Seat, A position in an elected body that is reserved for the specific winner of each constituency. (noun)
90,Senate, The upper part of the USA congress where elected politicians debate and vote. (noun)
91,Socialism, A political belief that the state or country should own everything. (noun)
92,Socialist, Supporting socialism. (adjective)
93,Speaker, The person who leads and ensures the functioning of a body of politicians. (noun)
94,Spin, To show information so that only positive or negative parts can be seen. (verb)
95,Spin doctor, A person who can spin information to hide the true meaning. (noun)
96,State, A single independent country. (noun) The organizations and people that run a country. (noun) A subdivision of a larger country. (noun)
97,Turn-out, The number or proportion of the total that can do something. (noun)
98,Vice President, The deputy to a president who will become the head of state if the president can no longer do the job. (noun)
99,Vote, To take part in an election by selecting a candidate. (verb)
100,Whip, A politician with the job to ensure the other politicians in the party do as they are told to do. (noun)
