source,target,connection,type
Good evening,Hofstra University,from,prep
anchor,NBC Nightly News,of,prep
start,segment,of,prep
same lead question,candidates,to,prep
Democratic nominee,president,for,prep
president,United States,of,prep
Republican nominee,president,for,prep
president,United States,of,prep
economic realities,America,in,prep
record straight years,job growth,of,prep
years,stagnation,of,prep
half,Americans,of,prep
kinds,jobs,of,prep
pockets,American works,of,prep
thanks,Hofstra,to,prep
central question,election,in,prep
jobs,infrastructure,in,prep
jobs,advanced manufacturing,in,prep
equal pay,work,for,prep
awesome responsibilities,presidency,of,prep
more money,pockets,into,prep
pockets,American workers,of,prep
eighth wonder,world,of,prep
Thousands,jobs,of,prep
Carrier air conditioning,Indianapolis,in,prep
hundreds,companies,of,prep
percent,companies,for,prep
percent,population,of,prep
biggest tax cuts,top percent,for,prep
drapery fabrics,long tables,on,prep
millions,jobs,of,prep
many many billions,dollars,of,prep
greatest assets,world,in,prep
example,Mexico,of,prep
fairness,Secretary Clinton,to,prep
fairness,Secretary Clinton,to,prep
clean- energy superpower,21st century,of,prep
great believer,forms,in,prep
forms,energy,of,prep
terms,energy,of,prep
worth,debt,of,prep
jobs,America,in,prep
incomes,America,in,prep
secretary,state,of,prep
secretary,state,of,prep
gold standard,trade deals,of,prep
leadership,world,in,prep
responsibilities,business,at,prep
robust set,plans,of,prep
biggest tax cuts,history,in,prep
biggest tax increases,history,in,prep
tremendous numbers,new jobs,of,prep
home page,website,of,prep
tax increase,wealthiest Americans,on,prep
great thing,middle class,for,prep
billions,dollars,of,prep
politicians,Secretary Clinton,like,prep
minutes,same question,of,prep
changes,corporate tax rates,in,prep
kinds,proposals,of,prep
tax benefit,family,for,prep
top works,America,in,prep
debt,college,from,prep
terms,jobs,of,prep
worst revival,economy,of,prep
rest,life,of,prep
conflicts,interest,of,prep
single country,world,in,prep
situation,country,in,prep
years,tax returns,of,prep
rest,country,of,prep
relative lot,money,of,prep
politicians,Secretary Clinton,like,prep
president,United States,of,prep
backs,little guys,of,prep
architect,audience,in,prep
course,business,of,prep
national debt,United States,of,prep
direct transfer,skills,of,prep
skills,business,from,prep
direct transfer,government,to,prep
greatest assets,world,in,prep
laws,nation,of,prep
laws,nation,of,prep
shootings,African Americans,of,prep
shootings,police,by,prep
big issue,campaign,in,prep
significant challenge,country,in,prep
tragic examples,Tulsa,in,prep
trust,communities,between,prep
first day,campaign,of,prep
leading more cause,death,of,prep
death,young American men,of,prep
plague,gun violence,of,prep
various parts,country,of,prep
law,country,in,prep
endorsement,Fraternal Order,of,prep
Fraternal Order,Police,of,prep
endorsements,police group,from,prep
large percentage,United States,in,prep
thousands,shootings,of,prep
Thousands,shootings,of,prep
very judge,police,against,prep
shootings,Chicago,in,prep
beginning,presidency,of,prep
presidency,Barack Obama,of,prep
good community relations,Chicago,in,prep
better relationships,communities,between,prep
law,inner cities,in,prep
dire negative picture,black communities,of,prep
black communities,country,in,prep
vibrancy,black church,of,prep
years,good cooperation,of,prep
systemic racism,justice system,in,prep
private prisons,federal system,in,prep
jump,conclusions,to,prep
group,experienced police chiefs,of,prep
difficult mental health problems,street,on,prep
endorsement,NRA,of,prep
predator,young black youth,about,prep
tremendous impact,safety,on,prep
safety,York City,of,prep
rights,young men,of,prep
better job,working,of,prep
community,inner cities,within,prep
votes,Democrat politicians,by,prep
last couple,weeks,of,prep
close friend,Secretary Clinton,of,prep
campaign,President Obama,against,prep
respected reporter,McClatchy,at,prep
interview,former campaign manager,with,prep
great service,country,for,prep
developments,African Americans,to,prep
amazing speech,Democratic National Convention,at,prep
debates,Barack Obama,against,prep
estate company,Brooklyn,in,prep
many many other companies,country,throughout,prep
admission,guilt,of,prep
admission,guilt,of,prep
discrimination,African- Americans,against,prep
discrimination,Muslims,against,prep
different kinds,adversaries,of,prep
organs,states,of,prep
kinds,organizations,of,prep
kinds,country,in,prep
praiseworthy,Vladimir Putin,of,prep
different kind,warfare,of,prep
citizens,country,of,prep
security officials,administrations,in,prep
security aspect,cyber,of,prep
direct people,country,in,prep
air strikes,ISIS,against,prep
secretary,state,of,prep
acts,terror,of,prep
latest incident,course,of,prep
knife attack,mall,at,prep
mall,Minnesota,in,prep
deadly attacks,last year,in,prep
deadly attacks,San Bernardino,in,prep
homegrown attacks,American citizens,by,prep
primary source,income,of,prep
oil,Libya,in,prep
invasion,Iraq,of,prep
agreement,Iraqi government,from,prep
scrap,information,of,prep
law enforcement,New York,in,prep
longest military alliance,history,in,prep
history,world,of,prep
friends,Middle East,in,prep
close working cooperation,law enforcement,with,prep
law enforcement,communities,in,prep
countries,NATO,of,prep
front page,Street Journal,of,prep
percent,cost,of,prep
criticism,NATO,of,prep
secretary,state,of,prep
war,Iraq,in,prep
war,Iraq,in,prep
best person,campaign,in,prep
war,Iraq,in,prep
interview,Howard Stern,with,prep
interview,Neil Cavuto,with,prep
numerous conversations,Sean Hannity,with,prep
favor,war,of,prep
war,Iraq,in,prep
arguments,war,about,prep
hundreds,millions,of,prep
millions,dollars,of,prep
nations,NATO,of,prep
respect,Iran,to,prep
secretary,state,of,prep
sanction,Iran,against,prep
toughest sanctions,Iran,on,prep
ship,waters,in,prep
policy,United States,of,prep
proliferation,nuclear weapons,of,prep
nuclear war,East Asia,in,prep
cavalier attitude,nuclear weapons,about,prep
power,North Korea,over,prep
horrible deal,Iran,with,prep
respect,North Korea,to,prep
respect,Yemen,to,prep
deal,Iran,with,prep
allies,Japan,in,prep
majority,American people,of,prep
other problems,Iran,with,prep
access,Iranian facilities,to,prep
leader,country,of,prep
billions,dollars,of,prep
policemen,world,of,prep
countries,world,over,prep
president,country,of,prep
release,dissidents,of,prep
opening,new opportunities,of,prep
new opportunities,nations,in,prep
nations,world,around,prep
inconvenience,employers,to,prep
woman,beauty contest,in,prep
millions,dollars,of,prep
millions,ads,of,prep
outcome,election,of,prep
outcome,election,of,prep
debate,evening,for,prep
thanks,Hillary Clinton,to,prep
Republican nominee,president,for,prep
Democratic nominee,president,for,prep
members,town hall,in,prep
mature audiences,parental guidelines,per,prep
slogan,campaign,of,prep
president,Americans,for,prep
horrible things,Obamacare,like,prep
strong country,weak country,from,prep
respect,law enforcement,to,prep
carnage,world,over,prep
borders,country,in,prep
wealth,nation,of,prep
prior Republican nominees,president,for,prep
commander,chief,in,prep
rate,appearance,on,prep
questions,fitness,about,prep
inner cities,country,of,prep
terrible job,African Americans,for,prep
primary part,campaign,of,prep
entire election,Facebook,on,prep
questions,voters,from,prep
voters,country,around,prep
first stays,topic,on,prep
responsibility,actions,for,prep
pictures,campaign,around,prep
term workers,FBI,at,prep
Last time,first debate,at,prep
temperament,Donald Trump,of,prep
charge,law,of,prep
law,country,in,prep
handling,classified information,of,prep
misleading accusations,critics,from,prep
secretary,state,of,prep
letter C,document,on,prep
talks,attorney,to,prep
subpoena,States Congress,from,prep
subpoena,States Congress,from,prep
highest priority,next president,of,prep
craziest thing,world,in,prep
situation,country,in,prep
much competition,insurance industry,in,prep
boundary lines,state,around,prep
passage,Obamacare,of,prep
architect,Obamacare,of,prep
grant,Medicaid,into,prep
threat,country,to,prep
difficult situation,country,for,prep
particular known one,Muhammad Ali,with,prep
vision,America,of,prep
different Muslim groups,America,around,prep
coalition,majority Muslim nations,with,prep
war,Islam,with,prep
hands,terrorists,of,prep
total shutdown,Muslims,of,prep
extreme vetting,certain areas,from,prep
certain areas,world,of,prep
percent increase,Obama,over,prep
feelings,country,about,prep
enough problems,country,in,prep
love,country,for,prep
increase,Syrian refugees,from,prep
blood,forehead,on,prep
war,Iraq,in,prep
war,Iraq,in,prep
secretary,state,of,prep
president,United States,of,prep
next question,public,from,prep
next question,online forum,through,prep
millions,votes,of,prep
WikiLeaks release,purported excerpts,of,prep
purported excerpts,Secretary Clinton,of,prep
public position,certain issues,on,prep
private stance,issues,on,prep
great display,presidential leadership,of,prep
history,country,of,prep
outcome,election,of,prep
election,Donald Trump,for,prep
big difference,Abraham Lincoln,between,prep
inner workings,Russia,of,prep
loans,Russia,from,prep
loans,Russia,with,prep
millions,dollars,of,prep
millions,taxes,in,prep
millions,dollars,of,prep
millions,taxes,in,prep
topic,taxes,of,prep
provisions,tax code,in,prep
lowering,taxes,of,prep
big league,middle class,for,prep
disaster,country,for,prep
growth,country,in,prep
GDP,percent,of,prep
fair share,taxes,of,prep
biggest tax cuts,factor,by,prep
millions,class families,of,prep
vast majority,Americans,of,prep
single break,tax code,in,prep
surcharge,incomes,on,prep
issue,Facebook,on,prep
issue,first time,for,prep
first time,campaign,in,prep
pages,tax returns,of,prep
depreciation,senator,as,prep
tremendous numbers,taxes,of,prep
bad judgments,Libya,on,prep
senator,New York,from,prep
senator,Republican president,with,prep
years,public service,in,prep
thousands,kids,of,prep
thousands,members,of,prep
secretary,state,of,prep
treaty,Russia,with,prep
pieces,legislation,of,prep
disaster,senator,as,prep
breaking video,old Syrian boy,of,prep
air strike,Aleppo,in,prep
war,Syria,in,prep
crimes investigation,Syrian regime,of,prep
Syrian regime,Bashar al Assad,of,prep
bombardment,Aleppo,of,prep
Diane,Pennsylvania,from,prep
humanitarian crisis,Aleppo,in,prep
situation,Syria,in,prep
results,regime,of,prep
results,Assad,by,prep
results,partnership,in,prep
partnership,Iranians,with,prep
results,ground,on,prep
determined effort,Russian air force,by,prep
secretary,state,of,prep
leverage,Russians,with,prep
partners,ground,on,prep
aggressiveness,Russia,of,prep
president,United States,of,prep
secretary,state,of,prep
sanctions,Iran,on,prep
secretary,state,of,prep
secretary,called line,with,prep
total contact,White House,with,prep
terms,nuclear,of,prep
terms,nuclear,of,prep
favor,rebels,of,prep
good chunk,oil,of,prep
history,deal making,of,prep
humanitarian crisis,Aleppo,in,prep
provocations,Russia,by,prep
Syrian government forces,Assad,of,prep
military targets,Assad regime,of,prep
stupidity,foreign policy,of,prep
bad leaders,ISIS,from,prep
harbor,Raqqa,between,prep
threat,military force,of,prep
threat,fly zone,beyond,prep
fly zone,Assad regime,against,prep
American ground forces,Syria,in,prep
use,enablers,of,prep
targeting,Qaida leaders,of,prep
best partners,Syria,in,prep
best partners,Iraq,as,prep
Kurdish fighters,ground,on,prep
greatest trade deal,history,in,prep
history,world,of,prep
